城市,老龄人口数,设施总数,原始压力值(raw),适老化服务压力指数
宜宾市,816700,357,2281.284916,47.97700786
忻州市,611100,267,2280.223881,47.95957649
咸阳市,880154,386,2274.299742,47.86210167
淮安市,1038365,456,2272.133479,47.82639496
汕头市,993084,437,2267.315068,47.74685046
柳州市,795200,352,2252.691218,47.50439462
运城市,952992,423,2247.622642,47.41999296
乐山市,669700,297,2247.315436,47.41487128
保山市,455700,202,2244.827586,47.37336843
临沧市,401100,178,2240.782123,47.30578288
庆阳市,460091,206,2222.661836,47.00155194
阿克苏地区,402800,181,2213.186813,46.84148229
汉中市,625971,283,2204.123239,46.68772129
漳州市,913194,417,2184.674641,46.35563705
日照市,665744,304,2182.767213,46.3229088
兰州市,750212,343,2180.848837,46.28996386
荆门市,567964,260,2176.10728,46.20841098
十堰市,690603,317,2171.707547,46.13257833
延边朝鲜族自治州,484153,222,2171.089686,46.12191675
鸡西市,407188,187,2165.893617,46.03213507
九江市,1016937,469,2163.695745,45.99409373
太原市,854484,396,2152.352645,45.79714834
葫芦岛市,607820,282,2147.773852,45.71735465
那曲市,59989,27,2142.464286,45.62461274
开封市,784447,366,2137.457766,45.53695345
大同市,640994,299,2136.646667,45.52273258
克孜勒苏柯尔克孜自治州,87400,40,2131.707317,45.4360151
吉安市,859891,403,2128.443069,45.37859618
本溪市,368898,173,2120.103448,45.23149957
内江市,593000,279,2117.857143,45.19177972
江门市,946237,446,2116.861298,45.17415741
郴州市,782349,370,2108.757412,45.03044358
固原市,309978,146,2108.693878,45.02931468
仙桃市,339021,160,2105.720497,44.97644486
黑河市,356848,170,2086.830409,44.63880632
崇左市,401200,192,2078.756477,44.4935612
广安市,579100,278,2075.62724,44.43711646
安阳市,796861,383,2075.158854,44.42866047
安康市,487110,235,2064.025424,44.22709967
商洛市,404992,197,2045.414141,43.88771993
朝阳市,665916,327,2030.231707,43.60857196
延安市,423335,208,2025.526316,43.52163381
通辽市,590436,291,2022.041096,43.45710967
自贡市,580200,286,2021.602787,43.44898711
平凉市,410023,202,2019.817734,43.41588902
江津区,326842,161,2017.54321,43.37367289
亳州市,824898,408,2016.865526,43.36108558
秦皇岛市,731544,362,2015.272727,43.33148429
滨州市,854814,425,2006.605634,43.17000015
牡丹江市,597973,298,1999.909699,43.04476431
黔南布依族苗族自治州,585900,294,1986.101695,42.78518097
抚顺市,561391,282,1983.713781,42.74010654
白城市,365038,184,1973.178378,42.54058993
绵阳市,868400,440,1969.160998,42.46422931
中卫市,250012,126,1968.598425,42.45352375
芜湖市,739817,377,1957.187831,42.23572158
巴彦淖尔市,341748,174,1952.845714,42.15250695
宿迁市,926434,474,1950.387368,42.10531188
南平市,657912,337,1946.485207,42.03027636
呼和浩特市,621295,319,1941.546875,41.93510026
吕梁市,567878,294,1925.010169,41.61461859
伊犁哈萨克自治州,442300,229,1923.043478,41.57632113
德阳市,697400,363,1915.934066,41.43755195
滁州市,791430,415,1902.475962,41.17344716
枣庄市,715244,375,1902.244681,41.16889216
辽源市,252023,132,1894.909774,41.02414544
白银市,360176,190,1885.73822,40.84236445
威海市,793488,422,1875.858156,40.64554942
永川区,289651,154,1868.716129,40.50263099
濮阳市,569900,304,1868.52459,40.49879061
长治市,609139,325,1868.52454,40.4987896
晋中市,640753,343,1862.65407,40.3808947
海东市,310027,166,1856.449102,40.25587778
营口市,577954,311,1852.416667,40.17440868
乌鲁木齐市,570412,307,1851.987013,40.16571775
株洲市,655328,353,1851.20904,40.14997596
遂宁市,570300,308,1845.631068,40.03691527
平顶山市,798949,434,1836.664368,39.85445024
贵阳市,787000,428,1834.498834,39.81024994
张掖市,300126,163,1830.036585,39.71900712
楚雄彝族自治州,444000,243,1819.672131,39.50621671
酒泉市,319978,177,1797.629213,39.04960161
乌兰察布市,510981,284,1792.915789,38.95123785
眉山市,596900,332,1792.492492,38.94239149
抚州市,705592,396,1777.309824,38.62370482
宁德市,591545,332,1776.411411,38.60476183
潜江市,219958,123,1773.854839,38.55080415
浦东新区,785236,444,1764.575281,38.35429951
临夏回族自治州,299800,169,1763.529412,38.33208737
普洱市,400300,227,1755.701754,38.16542462
清远市,662000,378,1746.701847,37.97288263
阜新市,460252,264,1736.8,37.75989586
辽阳市,416549,240,1728.419087,37.57867364
宣城市,564764,326,1727.107034,37.55022335
中山市,779700,451,1725,37.50448965
蚌埠市,594343,344,1722.733333,37.45522871
伊春市,275011,159,1718.81875,37.37000123
镇江市,756374,440,1715.133787,37.28959555
日喀则市,130021,75,1710.802632,37.19486898
衢州市,579200,338,1708.554572,37.14560722
铜仁市,560300,327,1708.231707,37.13852695
宝坻区,238741,140,1693.198582,36.80736851
淮南市,636410,375,1692.579787,36.79367446
合川区,341297,201,1689.589109,36.72741951
莆田市,508246,300,1688.524917,36.70381532
晋城市,445493,264,1681.10566,36.53883897
玉溪市,413200,245,1679.674797,36.50693826
惠州市,701800,418,1674.940334,36.40119079
